#{"t_start": 1751544158.1495821, "env_id": "MujocoPandaPushEnv"}
r,l,t,is_success
-50.0,50,216.884521,False
-50.0,50,217.662707,False
-50.0,50,218.500011,False
-50.0,50,219.343763,False
-50.0,50,220.177218,False
-50.0,50,220.999516,False
-50.0,50,221.855246,False
-50.0,50,222.66309,False
-50.0,50,223.478301,False
-50.0,50,224.306001,False
-50.0,50,225.138336,False
-50.0,50,225.979899,False
-50.0,50,226.78612,False
-50.0,50,227.607774,False
-50.0,50,228.399552,False
-50.0,50,229.213385,False
-50.0,50,230.033775,False
-50.0,50,230.848138,False
-50.0,50,231.736716,False
-50.0,50,232.641597,False
-50.0,50,233.505312,False
-50.0,50,234.324589,False
-50.0,50,235.143018,False
-50.0,50,235.9401,False
-50.0,50,236.745355,False
-50.0,50,237.558376,False
-50.0,50,238.341962,False
-50.0,50,239.120263,False
-50.0,50,239.932657,False
-50.0,50,240.735652,False
0.0,50,241.527297,True
-50.0,50,242.340831,False
-50.0,50,243.171854,False
-50.0,50,243.999645,False
-50.0,50,244.804818,False
-50.0,50,245.630865,False
-50.0,50,246.412472,False
-50.0,50,247.22814,False
-50.0,50,248.020591,False
-50.0,50,248.821072,False
-50.0,50,249.599577,False
-50.0,50,250.39689,False
-50.0,50,251.200449,False
-50.0,50,251.989646,False
-50.0,50,252.768659,False
-50.0,50,253.575541,False
-50.0,50,254.383468,False
-50.0,50,255.234757,False
-50.0,50,256.022151,False
-50.0,50,256.836015,False
-50.0,50,257.679071,False
-50.0,50,258.577136,False
-50.0,50,259.411224,False
-50.0,50,260.21147,False
-50.0,50,261.020663,False
-50.0,50,261.838126,False
-50.0,50,262.631384,False
-50.0,50,263.421932,False
-50.0,50,264.251975,False
-50.0,50,265.045585,False
-50.0,50,265.846196,False
-50.0,50,266.641696,False
-50.0,50,267.453452,False
-50.0,50,268.259841,False
-50.0,50,269.075723,False
-50.0,50,269.859375,False
-50.0,50,270.633078,False
-50.0,50,271.420834,False
-50.0,50,272.25803,False
-50.0,50,273.055684,False
-50.0,50,273.882654,False
-50.0,50,274.679452,False
-50.0,50,275.470936,False
-50.0,50,276.252616,False
-50.0,50,277.038702,False
-50.0,50,326.961222,False
-50.0,50,327.744279,False
-50.0,50,328.53432,False
-50.0,50,329.349913,False
-50.0,50,330.163074,False
-50.0,50,330.948224,False
-50.0,50,331.731888,False
-50.0,50,332.552205,False
-50.0,50,333.340547,False
-50.0,50,334.150908,False
-50.0,50,334.958727,False
-50.0,50,335.742071,False
-50.0,50,336.558127,False
-50.0,50,337.35079,False
-50.0,50,338.160182,False
-50.0,50,338.957894,False
-50.0,50,339.789788,False
-50.0,50,340.599772,False
-50.0,50,341.378662,False
-50.0,50,342.166054,False
-50.0,50,342.977818,False
-50.0,50,343.776834,False
-50.0,50,344.600238,False
-50.0,50,345.417213,False
-50.0,50,346.212978,False
-50.0,50,347.025142,False
-50.0,50,347.85575,False
-50.0,50,348.654929,False
-50.0,50,349.449522,False
-50.0,50,350.266885,False
-50.0,50,351.08374,False
-50.0,50,351.897658,False
-50.0,50,352.693458,False
-50.0,50,353.505315,False
-50.0,50,354.319528,False
-50.0,50,355.12723,False
-50.0,50,355.950364,False
-50.0,50,356.759331,False
-50.0,50,357.552777,False
-50.0,50,358.33029,False
-50.0,50,359.129538,False
-50.0,50,359.930661,False
-50.0,50,360.719873,False
-50.0,50,361.502721,False
-50.0,50,362.287122,False
-50.0,50,363.092459,False
-50.0,50,363.893548,False
-50.0,50,364.677818,False
-50.0,50,365.462517,False
-50.0,50,366.29986,False
-50.0,50,367.107988,False
-50.0,50,367.903078,False
-50.0,50,368.687916,False
-50.0,50,369.502346,False
-50.0,50,370.293332,False
-50.0,50,371.084226,False
-50.0,50,371.871792,False
-50.0,50,372.656903,False
-50.0,50,373.478331,False
-50.0,50,374.292384,False
-50.0,50,375.088543,False
-50.0,50,375.891958,False
-50.0,50,376.675327,False
-50.0,50,377.471097,False
-50.0,50,378.252701,False
-50.0,50,379.073525,False
-50.0,50,379.894522,False
-50.0,50,380.726023,False
-50.0,50,381.544746,False
-50.0,50,382.326861,False
-50.0,50,383.146672,False
-50.0,50,383.957553,False
-50.0,50,384.779706,False
-50.0,50,385.597903,False
-50.0,50,386.403037,False
-50.0,50,387.204875,False
-50.0,50,388.015297,False
-50.0,50,388.823662,False
-50.0,50,389.615064,False
-50.0,50,390.406343,False
-50.0,50,391.202783,False
-50.0,50,392.00042,False
-50.0,50,392.832255,False
-50.0,50,393.642888,False
-50.0,50,394.449018,False
-50.0,50,395.258894,False
-50.0,50,396.06269,False
-50.0,50,396.863887,False
-50.0,50,397.669829,False
-50.0,50,398.497036,False
-50.0,50,399.30657,False
-50.0,50,400.109034,False
-50.0,50,400.929955,False
-50.0,50,401.756524,False
-50.0,50,402.554306,False
-50.0,50,403.345845,False
-50.0,50,404.140696,False
-50.0,50,404.937669,False
-50.0,50,405.729017,False
-50.0,50,406.54724,False
-50.0,50,456.762644,False
-50.0,50,457.562098,False
-50.0,50,458.395345,False
-50.0,50,459.224373,False
-50.0,50,460.026923,False
-50.0,50,460.829735,False
-50.0,50,461.628795,False
-50.0,50,462.417816,False
-50.0,50,463.210995,False
-50.0,50,464.01994,False
-50.0,50,464.808893,False
-50.0,50,465.636689,False
-50.0,50,466.456765,False
-50.0,50,467.27601,False
-50.0,50,468.073343,False
-50.0,50,468.869009,False
-50.0,50,469.660206,False
-50.0,50,470.451368,False
-50.0,50,471.238019,False
-50.0,50,472.028656,False
-50.0,50,472.823032,False
-50.0,50,473.624952,False
-50.0,50,474.428057,False
-50.0,50,475.25396,False
-50.0,50,476.093652,False
-50.0,50,476.90723,False
-50.0,50,477.696598,False
-50.0,50,478.483911,False
-50.0,50,479.279776,False
-50.0,50,480.083761,False
-50.0,50,480.906035,False
-50.0,50,481.707522,False
-50.0,50,482.517758,False
-50.0,50,483.329172,False
-50.0,50,484.151602,False
-50.0,50,484.957179,False
-50.0,50,485.782336,False
-50.0,50,486.577872,False
-50.0,50,487.37638,False
-50.0,50,488.19032,False
-50.0,50,489.008836,False
-50.0,50,489.827817,False
-50.0,50,490.650995,False
-50.0,50,491.450123,False
-50.0,50,492.280954,False
-50.0,50,493.075418,False
-50.0,50,493.876023,False
-50.0,50,494.687642,False
-50.0,50,495.476362,False
-50.0,50,496.302754,False
-50.0,50,497.128495,False
-50.0,50,497.961736,False
-50.0,50,498.769831,False
-50.0,50,499.59005,False
-50.0,50,500.41987,False
-50.0,50,501.227558,False
-50.0,50,502.056809,False
-50.0,50,502.874248,False
-50.0,50,503.69386,False
-50.0,50,504.516459,False
-50.0,50,505.320069,False
-50.0,50,506.113602,False
-50.0,50,506.899863,False
-50.0,50,507.689199,False
-50.0,50,508.542926,False
-50.0,50,509.327774,False
-50.0,50,510.130866,False
-50.0,50,510.94148,False
-50.0,50,511.764289,False
-50.0,50,512.62481,False
-50.0,50,513.437145,False
