time/time_elapsed,time/episodes,rollout/success_rate,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,eval/success_rate,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/n_updates
46,97,0.010309278350515464,103,4850,-49.48453608247423,50.0,,,,,,,,,
47,98,0.01020408163265306,103,4900,-49.48979591836735,50.0,,,,,,,,,
47,99,0.010101010101010102,103,4950,-49.494949494949495,50.0,,,,,,,,,
,,,,5000,,,0.0,-50.0,50.0,,,,,,
98,100,0.01,50,5000,-49.5,50.0,,,,,,,,,
98,101,0.01,51,5050,-49.5,50.0,,,,,,,,,
99,102,0.01,51,5100,-49.5,50.0,,,,,,,,,
99,103,0.01,51,5150,-49.5,50.0,,,,,,,,,
99,104,0.01,52,5200,-49.5,50.0,,,,,,,,,
100,105,0.01,52,5250,-49.5,50.0,,,,,,,,,
100,106,0.01,52,5300,-49.5,50.0,,,,,,,,,
101,107,0.01,52,5350,-49.5,50.0,,,,,,,,,
101,108,0.01,52,5400,-49.5,50.0,,,,,,,,,
102,109,0.01,53,5450,-49.5,50.0,,,,,,,,,
102,110,0.01,53,5500,-49.5,50.0,,,,,,,,,
103,111,0.01,53,5550,-49.5,50.0,,,,,,,,,
103,112,0.01,53,5600,-49.5,50.0,,,,,,,,,
104,113,0.01,54,5650,-49.5,50.0,,,,,,,,,
104,114,0.01,54,5700,-49.5,50.0,,,,,,,,,
105,115,0.01,54,5750,-49.5,50.0,,,,,,,,,
105,116,0.01,54,5800,-49.5,50.0,,,,,,,,,
106,117,0.01,55,5850,-49.5,50.0,,,,,,,,,
106,118,0.01,55,5900,-49.5,50.0,,,,,,,,,
107,119,0.01,55,5950,-49.5,50.0,,,,,,,,,
107,120,0.01,55,6000,-49.5,50.0,,,,,,,,,
108,121,0.01,55,6050,-49.5,50.0,,,,,,,,,
108,122,0.01,56,6100,-49.5,50.0,,,,,,,,,
109,123,0.01,56,6150,-49.5,50.0,,,,,,,,,
109,124,0.01,56,6200,-49.5,50.0,,,,,,,,,
109,125,0.01,56,6250,-49.5,50.0,,,,,,,,,
110,126,0.01,57,6300,-49.5,50.0,,,,,,,,,
110,127,0.01,57,6350,-49.5,50.0,,,,,,,,,
111,128,0.01,57,6400,-49.5,50.0,,,,,,,,,
111,129,0.01,57,6450,-49.5,50.0,,,,,,,,,
112,130,0.01,57,6500,-49.5,50.0,,,,,,,,,
112,131,0.01,58,6550,-49.5,50.0,,,,,,,,,
113,132,0.01,58,6600,-49.5,50.0,,,,,,,,,
113,133,0.01,58,6650,-49.5,50.0,,,,,,,,,
114,134,0.01,58,6700,-49.5,50.0,,,,,,,,,
114,135,0.01,58,6750,-49.5,50.0,,,,,,,,,
115,136,0.01,59,6800,-49.5,50.0,,,,,,,,,
115,137,0.01,59,6850,-49.5,50.0,,,,,,,,,
116,138,0.01,59,6900,-49.5,50.0,,,,,,,,,
116,139,0.01,59,6950,-49.5,50.0,,,,,,,,,
117,140,0.01,59,7000,-49.5,50.0,,,,,,,,,
117,141,0.01,59,7050,-49.5,50.0,,,,,,,,,
118,142,0.01,60,7100,-49.5,50.0,,,,,,,,,
118,143,0.01,60,7150,-49.5,50.0,,,,,,,,,
118,144,0.01,60,7200,-49.5,50.0,,,,,,,,,
119,145,0.01,60,7250,-49.5,50.0,,,,,,,,,
119,146,0.01,60,7300,-49.5,50.0,,,,,,,,,
120,147,0.01,61,7350,-49.5,50.0,,,,,,,,,
120,148,0.01,61,7400,-49.5,50.0,,,,,,,,,
121,149,0.01,61,7450,-49.5,50.0,,,,,,,,,
121,150,0.01,61,7500,-49.18,50.0,,,,,,,,,
122,151,0.01,61,7550,-49.18,50.0,,,,,,,,,
122,152,0.01,61,7600,-49.18,50.0,,,,,,,,,
123,153,0.01,62,7650,-49.18,50.0,,,,,,,,,
123,154,0.01,62,7700,-49.18,50.0,,,,,,,,,
124,155,0.01,62,7750,-49.18,50.0,,,,,,,,,
124,156,0.01,62,7800,-49.18,50.0,,,,,,,,,
125,157,0.01,62,7850,-49.18,50.0,,,,,,,,,
125,158,0.01,62,7900,-49.18,50.0,,,,,,,,,
126,159,0.01,63,7950,-49.18,50.0,,,,,,,,,
126,160,0.01,63,8000,-49.18,50.0,,,,,,,,,
127,161,0.01,63,8050,-49.18,50.0,,,,,,,,,
127,162,0.01,63,8100,-49.18,50.0,,,,,,,,,
128,163,0.01,63,8150,-49.18,50.0,,,,,,,,,
128,164,0.01,63,8200,-49.18,50.0,,,,,,,,,
129,165,0.01,63,8250,-49.18,50.0,,,,,,,,,
129,166,0.01,64,8300,-49.18,50.0,,,,,,,,,
129,167,0.01,64,8350,-49.18,50.0,,,,,,,,,
130,168,0.01,64,8400,-49.18,50.0,,,,,,,,,
130,169,0.01,64,8450,-49.18,50.0,,,,,,,,,
131,170,0.02,64,8500,-49.16,50.0,,,,,,,,,
