#{"t_start": 1757197478.8557968, "env_id": "MujocoPandaPushEnv"}
r,l,t,is_success
-50.0,50,1.509582,False
-50.0,50,1.989574,False
-50.0,50,2.485724,False
-50.0,50,2.948018,False
-50.0,50,3.427014,False
-50.0,50,3.910932,False
-50.0,50,4.39348,False
-50.0,50,4.853577,False
-50.0,50,5.330874,False
-50.0,50,5.817552,False
-50.0,50,6.301377,False
-50.0,50,6.786827,False
-50.0,50,7.270706,False
-50.0,50,7.731721,False
-50.0,50,8.197942,False
-50.0,50,8.672518,False
-50.0,50,9.138107,False
-50.0,50,9.607932,False
-50.0,50,10.09314,False
-50.0,50,10.555605,False
-50.0,50,11.015664,False
-50.0,50,11.495582,False
-50.0,50,11.952194,False
-50.0,50,12.410449,False
-50.0,50,12.873512,False
-50.0,50,13.331273,False
-50.0,50,13.817529,False
-50.0,50,14.280413,False
-50.0,50,14.741238,False
-50.0,50,15.209379,False
-50.0,50,15.693395,False
-50.0,50,16.174788,False
-50.0,50,16.649474,False
-50.0,50,17.127527,False
-50.0,50,17.618094,False
-50.0,50,18.112347,False
-50.0,50,18.590161,False
-50.0,50,19.087857,False
-50.0,50,19.571437,False
-50.0,50,20.038568,False
-50.0,50,20.518051,False
-50.0,50,20.983165,False
-50.0,50,21.443712,False
-50.0,50,21.929599,False
-50.0,50,22.421227,False
-50.0,50,22.894233,False
-50.0,50,23.378678,False
-50.0,50,23.864816,False
-50.0,50,24.349187,False
-50.0,50,24.830586,False
-50.0,50,25.299769,False
-50.0,50,25.779528,False
-50.0,50,26.242464,False
-50.0,50,26.727237,False
-50.0,50,27.191315,False
-50.0,50,27.668204,False
-50.0,50,28.153968,False
-50.0,50,28.630561,False
-50.0,50,29.115204,False
-50.0,50,29.604741,False
-50.0,50,30.084893,False
-50.0,50,30.568261,False
-50.0,50,31.033364,False
-50.0,50,31.498855,False
-50.0,50,31.961507,False
-50.0,50,32.457967,False
-50.0,50,32.939654,False
-50.0,50,33.403794,False
-50.0,50,33.895707,False
-50.0,50,34.384692,False
-50.0,50,34.874264,False
-50.0,50,35.339887,False
-50.0,50,35.814661,False
-50.0,50,36.298552,False
-50.0,50,36.759861,False
-50.0,50,37.245845,False
-50.0,50,37.729751,False
-50.0,50,38.193024,False
