time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,time/total_timesteps,eval/success_rate,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/actor_loss
97,103,46,50.0,-49.48453608247423,0.010309278350515464,4850,,,,,,,,,
98,103,47,50.0,-49.48979591836735,0.01020408163265306,4900,,,,,,,,,
99,103,47,50.0,-49.494949494949495,0.010101010101010102,4950,,,,,,,,,
,,,,,,5000,0.0,50.0,-50.0,,,,,,
100,51,97,50.0,-49.5,0.01,5000,,,,,,,,,
101,51,97,50.0,-49.5,0.01,5050,,,,,,,,,
102,51,98,50.0,-49.5,0.01,5100,,,,,,,,,
103,52,98,50.0,-49.5,0.01,5150,,,,,,,,,
104,52,99,50.0,-49.5,0.01,5200,,,,,,,,,
105,52,99,50.0,-49.5,0.01,5250,,,,,,,,,
106,52,100,50.0,-49.5,0.01,5300,,,,,,,,,
107,53,100,50.0,-49.5,0.01,5350,,,,,,,,,
108,53,101,50.0,-49.5,0.01,5400,,,,,,,,,
109,53,101,50.0,-49.5,0.01,5450,,,,,,,,,
110,53,101,50.0,-49.5,0.01,5500,,,,,,,,,
111,54,102,50.0,-49.5,0.01,5550,,,,,,,,,
112,54,102,50.0,-49.5,0.01,5600,,,,,,,,,
113,54,103,50.0,-49.5,0.01,5650,,,,,,,,,
114,54,103,50.0,-49.5,0.01,5700,,,,,,,,,
115,55,104,50.0,-49.5,0.01,5750,,,,,,,,,
116,55,104,50.0,-49.5,0.01,5800,,,,,,,,,
117,55,105,50.0,-49.5,0.01,5850,,,,,,,,,
118,55,105,50.0,-49.5,0.01,5900,,,,,,,,,
119,56,106,50.0,-49.5,0.01,5950,,,,,,,,,
120,56,106,50.0,-49.5,0.01,6000,,,,,,,,,
121,56,107,50.0,-49.5,0.01,6050,,,,,,,,,
122,56,107,50.0,-49.5,0.01,6100,,,,,,,,,
123,56,108,50.0,-49.5,0.01,6150,,,,,,,,,
124,57,108,50.0,-49.5,0.01,6200,,,,,,,,,
125,57,109,50.0,-49.5,0.01,6250,,,,,,,,,
126,57,109,50.0,-49.5,0.01,6300,,,,,,,,,
127,57,109,50.0,-49.5,0.01,6350,,,,,,,,,
128,57,110,50.0,-49.5,0.01,6400,,,,,,,,,
129,58,110,50.0,-49.5,0.01,6450,,,,,,,,,
130,58,111,50.0,-49.5,0.01,6500,,,,,,,,,
131,58,111,50.0,-49.5,0.01,6550,,,,,,,,,
132,58,112,50.0,-49.5,0.01,6600,,,,,,,,,
133,58,112,50.0,-49.5,0.01,6650,,,,,,,,,
134,59,113,50.0,-49.5,0.01,6700,,,,,,,,,
135,59,113,50.0,-49.5,0.01,6750,,,,,,,,,
136,59,114,50.0,-49.5,0.01,6800,,,,,,,,,
137,59,114,50.0,-49.5,0.01,6850,,,,,,,,,
138,59,115,50.0,-49.5,0.01,6900,,,,,,,,,
139,60,115,50.0,-49.5,0.01,6950,,,,,,,,,
140,60,116,50.0,-49.5,0.01,7000,,,,,,,,,
141,60,116,50.0,-49.5,0.01,7050,,,,,,,,,
142,60,117,50.0,-49.5,0.01,7100,,,,,,,,,
143,60,117,50.0,-49.5,0.01,7150,,,,,,,,,
144,61,117,50.0,-49.5,0.01,7200,,,,,,,,,
145,61,118,50.0,-49.5,0.01,7250,,,,,,,,,
146,61,118,50.0,-49.5,0.01,7300,,,,,,,,,
147,61,119,50.0,-49.5,0.01,7350,,,,,,,,,
148,61,119,50.0,-49.5,0.01,7400,,,,,,,,,
149,61,120,50.0,-49.5,0.01,7450,,,,,,,,,
150,62,120,50.0,-49.18,0.01,7500,,,,,,,,,
151,62,121,50.0,-49.18,0.01,7550,,,,,,,,,
152,62,121,50.0,-49.18,0.01,7600,,,,,,,,,
153,62,122,50.0,-49.18,0.01,7650,,,,,,,,,
154,62,122,50.0,-49.18,0.01,7700,,,,,,,,,
155,62,123,50.0,-49.18,0.01,7750,,,,,,,,,
156,63,123,50.0,-49.18,0.01,7800,,,,,,,,,
157,63,124,50.0,-49.18,0.01,7850,,,,,,,,,
158,63,124,50.0,-49.18,0.01,7900,,,,,,,,,
159,63,125,50.0,-49.18,0.01,7950,,,,,,,,,
160,63,125,50.0,-49.18,0.01,8000,,,,,,,,,
161,63,125,50.0,-49.18,0.01,8050,,,,,,,,,
162,64,126,50.0,-49.18,0.01,8100,,,,,,,,,
163,64,126,50.0,-49.18,0.01,8150,,,,,,,,,
164,64,127,50.0,-49.18,0.01,8200,,,,,,,,,
165,64,127,50.0,-49.18,0.01,8250,,,,,,,,,
166,64,128,50.0,-49.18,0.01,8300,,,,,,,,,
167,64,128,50.0,-49.18,0.01,8350,,,,,,,,,
168,64,129,50.0,-49.18,0.01,8400,,,,,,,,,
169,65,129,50.0,-49.18,0.01,8450,,,,,,,,,
170,65,130,50.0,-49.16,0.02,8500,,,,,,,,,
171,65,130,50.0,-49.16,0.02,8550,,,,,,,,,
172,65,131,50.0,-49.16,0.02,8600,,,,,,,,,
173,65,131,50.0,-49.16,0.02,8650,,,,,,,,,
174,65,132,50.0,-49.16,0.02,8700,,,,,,,,,
175,65,132,50.0,-49.16,0.02,8750,,,,,,,,,
176,66,133,50.0,-49.16,0.02,8800,,,,,,,,,
177,66,133,50.0,-49.16,0.02,8850,,,,,,,,,
178,66,134,50.0,-49.16,0.02,8900,,,,,,,,,
179,66,134,50.0,-49.16,0.02,8950,,,,,,,,,
180,66,134,50.0,-49.16,0.02,9000,,,,,,,,,
181,66,135,50.0,-49.16,0.02,9050,,,,,,,,,
182,66,135,50.0,-49.16,0.02,9100,,,,,,,,,
183,67,136,50.0,-49.16,0.02,9150,,,,,,,,,
