rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,eval/mean_ep_length,eval/success_rate,eval/mean_reward,train/learning_rate,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef_loss
,,,5000,,,,50.0,0.01,-49.5,,,,,,
50.0,51,100,5000,-50.0,0.0,97,,,,,,,,,
50.0,51,101,5050,-50.0,0.0,98,,,,,,,,,
50.0,51,102,5100,-50.0,0.0,98,,,,,,,,,
50.0,52,103,5150,-50.0,0.0,98,,,,,,,,,
50.0,52,104,5200,-50.0,0.0,99,,,,,,,,,
50.0,52,105,5250,-50.0,0.0,99,,,,,,,,,
50.0,52,106,5300,-50.0,0.0,100,,,,,,,,,
50.0,53,107,5350,-50.0,0.0,100,,,,,,,,,
50.0,53,108,5400,-49.5,0.01,101,,,,,,,,,
50.0,53,109,5450,-49.5,0.01,101,,,,,,,,,
50.0,53,110,5500,-49.5,0.01,102,,,,,,,,,
50.0,53,111,5550,-49.5,0.01,102,,,,,,,,,
50.0,54,112,5600,-49.5,0.01,103,,,,,,,,,
50.0,54,113,5650,-49.5,0.01,103,,,,,,,,,
50.0,54,114,5700,-49.5,0.01,104,,,,,,,,,
50.0,54,115,5750,-49.5,0.01,104,,,,,,,,,
50.0,55,116,5800,-49.5,0.01,105,,,,,,,,,
50.0,55,117,5850,-49.5,0.01,105,,,,,,,,,
50.0,55,118,5900,-49.5,0.01,106,,,,,,,,,
50.0,55,119,5950,-49.5,0.01,106,,,,,,,,,
50.0,55,120,6000,-49.5,0.01,107,,,,,,,,,
50.0,56,121,6050,-49.5,0.01,107,,,,,,,,,
50.0,56,122,6100,-49.5,0.01,108,,,,,,,,,
50.0,56,123,6150,-49.5,0.01,108,,,,,,,,,
50.0,56,124,6200,-49.5,0.01,109,,,,,,,,,
50.0,57,125,6250,-49.5,0.01,109,,,,,,,,,
50.0,57,126,6300,-49.5,0.01,110,,,,,,,,,
50.0,57,127,6350,-49.5,0.01,110,,,,,,,,,
50.0,57,128,6400,-49.5,0.01,110,,,,,,,,,
50.0,57,129,6450,-49.5,0.01,111,,,,,,,,,
50.0,58,130,6500,-49.5,0.01,111,,,,,,,,,
50.0,58,131,6550,-49.24,0.02,112,,,,,,,,,
50.0,58,132,6600,-49.24,0.02,112,,,,,,,,,
50.0,58,133,6650,-49.24,0.02,113,,,,,,,,,
50.0,58,134,6700,-49.24,0.02,113,,,,,,,,,
