#{"t_start": 1751570594.9563727, "env_id": "MujocoPandaPushEnv"}
r,l,t,is_success
-50.0,50,215.627271,False
-50.0,50,216.404793,False
-50.0,50,217.208596,False
-50.0,50,217.983581,False
-50.0,50,218.786844,False
-50.0,50,219.556446,False
-50.0,50,220.35985,False
-50.0,50,221.142664,False
-50.0,50,221.935277,False
-50.0,50,222.722701,False
-50.0,50,223.494167,False
-50.0,50,224.280978,False
-50.0,50,225.06163,False
-50.0,50,225.844435,False
-50.0,50,226.647249,False
-50.0,50,227.449898,False
-50.0,50,228.23825,False
-50.0,50,229.061218,False
-50.0,50,229.858035,False
-50.0,50,230.646537,False
-50.0,50,231.417765,False
-50.0,50,232.23296,False
-50.0,50,233.044451,False
-50.0,50,233.862084,False
-50.0,50,234.655883,False
-50.0,50,235.47255,False
-50.0,50,236.282064,False
-50.0,50,237.081097,False
-50.0,50,237.87161,False
-50.0,50,238.67235,False
-50.0,50,239.436897,False
-50.0,50,240.235016,False
-50.0,50,241.028847,False
-50.0,50,241.825105,False
-50.0,50,242.660624,False
-50.0,50,243.443909,False
-50.0,50,244.257715,False
-50.0,50,245.043904,False
-50.0,50,245.854377,False
-50.0,50,246.661076,False
-50.0,50,247.462698,False
-50.0,50,248.256157,False
-50.0,50,249.071002,False
-50.0,50,249.844043,False
-50.0,50,250.624769,False
-50.0,50,251.447296,False
-50.0,50,252.265497,False
-50.0,50,253.036472,False
-50.0,50,253.841914,False
-50.0,50,254.648504,False
-50.0,50,255.435988,False
-50.0,50,256.221715,False
-50.0,50,257.058109,False
-50.0,50,257.866795,False
-50.0,50,258.680963,False
-50.0,50,259.470126,False
-50.0,50,260.262012,False
-50.0,50,261.047198,False
-50.0,50,261.834754,False
-50.0,50,262.634051,False
-50.0,50,263.454327,False
-50.0,50,264.243781,False
-50.0,50,265.035641,False
-50.0,50,265.847141,False
-50.0,50,266.669592,False
-50.0,50,267.465013,False
-50.0,50,268.244494,False
-50.0,50,269.025873,False
-50.0,50,269.812865,False
-50.0,50,270.616294,False
-50.0,50,271.395977,False
-50.0,50,272.190231,False
-50.0,50,272.991302,False
-50.0,50,273.774503,False
-50.0,50,274.577705,False
-50.0,50,324.650706,False
-50.0,50,325.448442,False
-50.0,50,326.227305,False
-50.0,50,326.999156,False
-50.0,50,327.779406,False
-50.0,50,328.572508,False
-50.0,50,329.356501,False
-50.0,50,330.127898,False
-50.0,50,330.893315,False
-50.0,50,331.682326,False
-50.0,50,332.473254,False
-50.0,50,333.264517,False
-50.0,50,334.036503,False
-50.0,50,334.821689,False
-50.0,50,335.640239,False
-50.0,50,336.437793,False
-50.0,50,337.226267,False
-50.0,50,338.022858,False
-50.0,50,338.81093,False
-50.0,50,339.601595,False
-50.0,50,340.389463,False
-50.0,50,341.180931,False
-50.0,50,341.983622,False
-50.0,50,342.773491,False
-50.0,50,343.557944,False
-50.0,50,344.382283,False
-50.0,50,345.201027,False
-50.0,50,345.997136,False
-50.0,50,346.808398,False
-50.0,50,347.634734,False
-50.0,50,348.436654,False
-50.0,50,349.2544,False
-50.0,50,350.052307,False
-50.0,50,350.850783,False
-50.0,50,351.66004,False
-50.0,50,352.451985,False
-50.0,50,353.242207,False
-50.0,50,354.038156,False
-50.0,50,354.844234,False
-50.0,50,355.646362,False
-50.0,50,356.442548,False
-50.0,50,357.246309,False
-50.0,50,358.049027,False
-50.0,50,358.847827,False
-50.0,50,359.632742,False
-50.0,50,360.416441,False
-50.0,50,361.19909,False
-50.0,50,361.991904,False
-50.0,50,362.77069,False
-50.0,50,363.558329,False
-50.0,50,364.329135,False
-50.0,50,365.123053,False
-50.0,50,365.902013,False
-50.0,50,366.668845,False
-50.0,50,367.487679,False
-50.0,50,368.2937,False
-50.0,50,369.098027,False
-50.0,50,369.895227,False
-50.0,50,370.666794,False
-50.0,50,371.45848,False
-50.0,50,372.257086,False
-50.0,50,373.066849,False
-50.0,50,373.848256,False
-50.0,50,374.652513,False
-50.0,50,375.475922,False
-50.0,50,376.285453,False
-50.0,50,377.091519,False
-50.0,50,377.878484,False
-50.0,50,378.68084,False
-50.0,50,379.473087,False
-50.0,50,380.276765,False
-50.0,50,381.081414,False
-50.0,50,381.880485,False
-50.0,50,382.714645,False
-50.0,50,383.505527,False
-50.0,50,384.321666,False
-50.0,50,385.104225,False
-50.0,50,385.892454,False
-50.0,50,386.695224,False
-50.0,50,387.486384,False
-50.0,50,388.284181,False
-50.0,50,389.081711,False
-50.0,50,389.874809,False
-50.0,50,390.668763,False
-50.0,50,391.450271,False
-50.0,50,392.238997,False
-50.0,50,393.013473,False
-50.0,50,393.813606,False
-50.0,50,394.606504,False
-50.0,50,395.402972,False
-50.0,50,396.18573,False
-50.0,50,396.965944,False
-50.0,50,397.782892,False
-50.0,50,398.56765,False
-50.0,50,399.379769,False
-50.0,50,400.197214,False
-50.0,50,400.987504,False
-50.0,50,401.80449,False
-50.0,50,402.598946,False
-50.0,50,403.409345,False
-50.0,50,453.599762,False
-50.0,50,454.408847,False
-50.0,50,455.198958,False
-50.0,50,456.014303,False
-50.0,50,456.814781,False
-50.0,50,457.632926,False
-50.0,50,458.436452,False
-50.0,50,459.225905,False
-50.0,50,460.032873,False
-50.0,50,460.855098,False
-50.0,50,461.662569,False
-50.0,50,462.463854,False
-50.0,50,463.279067,False
-50.0,50,464.083843,False
-50.0,50,464.88265,False
-50.0,50,465.683703,False
-50.0,50,466.486408,False
-50.0,50,467.306636,False
-50.0,50,468.11677,False
-50.0,50,468.915473,False
-50.0,50,469.725536,False
-50.0,50,470.519524,False
-50.0,50,471.332196,False
-50.0,50,472.145295,False
-50.0,50,472.963791,False
-50.0,50,473.73629,False
-50.0,50,474.513252,False
-50.0,50,475.286129,False
-50.0,50,476.096147,False
-50.0,50,476.896772,False
-50.0,50,477.700539,False
-50.0,50,478.489383,False
-50.0,50,479.2832,False
-50.0,50,480.112808,False
-50.0,50,480.91364,False
-50.0,50,481.749369,False
-50.0,50,482.56646,False
-50.0,50,483.354287,False
-50.0,50,484.178867,False
