time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,rollout/success_rate,eval/mean_reward,eval/success_rate,eval/mean_ep_length,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef,train/critic_loss
,,5000,,,,,-49.5,0.01,50.0,,,,,,
100,97,5000,50.0,51,-50.0,0.0,,,,,,,,,
101,98,5050,50.0,51,-50.0,0.0,,,,,,,,,
102,98,5100,50.0,51,-50.0,0.0,,,,,,,,,
103,99,5150,50.0,51,-50.0,0.0,,,,,,,,,
104,99,5200,50.0,52,-50.0,0.0,,,,,,,,,
105,100,5250,50.0,52,-50.0,0.0,,,,,,,,,
106,100,5300,50.0,52,-50.0,0.0,,,,,,,,,
107,101,5350,50.0,52,-50.0,0.0,,,,,,,,,
108,101,5400,50.0,53,-49.5,0.01,,,,,,,,,
109,102,5450,50.0,53,-49.5,0.01,,,,,,,,,
110,102,5500,50.0,53,-49.5,0.01,,,,,,,,,
111,103,5550,50.0,53,-49.5,0.01,,,,,,,,,
112,103,5600,50.0,54,-49.5,0.01,,,,,,,,,
113,104,5650,50.0,54,-49.5,0.01,,,,,,,,,
114,104,5700,50.0,54,-49.5,0.01,,,,,,,,,
115,105,5750,50.0,54,-49.5,0.01,,,,,,,,,
116,105,5800,50.0,54,-49.5,0.01,,,,,,,,,
117,105,5850,50.0,55,-49.5,0.01,,,,,,,,,
118,106,5900,50.0,55,-49.5,0.01,,,,,,,,,
119,106,5950,50.0,55,-49.5,0.01,,,,,,,,,
120,107,6000,50.0,55,-49.5,0.01,,,,,,,,,
121,107,6050,50.0,56,-49.5,0.01,,,,,,,,,
122,108,6100,50.0,56,-49.5,0.01,,,,,,,,,
123,108,6150,50.0,56,-49.5,0.01,,,,,,,,,
124,109,6200,50.0,56,-49.5,0.01,,,,,,,,,
125,109,6250,50.0,56,-49.5,0.01,,,,,,,,,
126,110,6300,50.0,57,-49.5,0.01,,,,,,,,,
127,110,6350,50.0,57,-49.5,0.01,,,,,,,,,
128,111,6400,50.0,57,-49.5,0.01,,,,,,,,,
129,111,6450,50.0,57,-49.5,0.01,,,,,,,,,
130,112,6500,50.0,57,-49.5,0.01,,,,,,,,,
131,112,6550,50.0,58,-49.24,0.02,,,,,,,,,
132,113,6600,50.0,58,-49.24,0.02,,,,,,,,,
133,113,6650,50.0,58,-49.24,0.02,,,,,,,,,
134,114,6700,50.0,58,-49.24,0.02,,,,,,,,,
135,114,6750,50.0,58,-49.24,0.02,,,,,,,,,
136,115,6800,50.0,59,-49.24,0.02,,,,,,,,,
137,115,6850,50.0,59,-49.24,0.02,,,,,,,,,
138,116,6900,50.0,59,-49.24,0.02,,,,,,,,,
139,116,6950,50.0,59,-49.24,0.02,,,,,,,,,
140,116,7000,50.0,59,-49.24,0.02,,,,,,,,,
141,117,7050,50.0,60,-49.24,0.02,,,,,,,,,
142,117,7100,50.0,60,-49.24,0.02,,,,,,,,,
143,118,7150,50.0,60,-49.24,0.02,,,,,,,,,
144,118,7200,50.0,60,-49.24,0.02,,,,,,,,,
145,119,7250,50.0,60,-49.24,0.02,,,,,,,,,
146,119,7300,50.0,60,-49.24,0.02,,,,,,,,,
147,120,7350,50.0,61,-49.24,0.02,,,,,,,,,
148,120,7400,50.0,61,-49.24,0.02,,,,,,,,,
149,121,7450,50.0,61,-49.24,0.02,,,,,,,,,
150,121,7500,50.0,61,-49.24,0.02,,,,,,,,,
151,122,7550,50.0,61,-49.24,0.02,,,,,,,,,
152,122,7600,50.0,61,-49.24,0.02,,,,,,,,,
153,123,7650,50.0,62,-49.24,0.02,,,,,,,,,
154,123,7700,50.0,62,-49.24,0.02,,,,,,,,,
155,124,7750,50.0,62,-49.24,0.02,,,,,,,,,
156,124,7800,50.0,62,-49.24,0.02,,,,,,,,,
157,125,7850,50.0,62,-49.24,0.02,,,,,,,,,
158,125,7900,50.0,62,-49.24,0.02,,,,,,,,,
159,126,7950,50.0,63,-49.24,0.02,,,,,,,,,
160,126,8000,50.0,63,-49.24,0.02,,,,,,,,,
161,127,8050,50.0,63,-49.24,0.02,,,,,,,,,
162,127,8100,50.0,63,-49.24,0.02,,,,,,,,,
163,128,8150,50.0,63,-49.24,0.02,,,,,,,,,
164,128,8200,50.0,63,-49.24,0.02,,,,,,,,,
165,129,8250,50.0,63,-49.24,0.02,,,,,,,,,
166,129,8300,50.0,64,-49.24,0.02,,,,,,,,,
167,129,8350,50.0,64,-49.24,0.02,,,,,,,,,
168,130,8400,50.0,64,-49.24,0.02,,,,,,,,,
169,130,8450,50.0,64,-49.24,0.02,,,,,,,,,
170,131,8500,50.0,64,-49.24,0.02,,,,,,,,,
171,131,8550,50.0,64,-49.24,0.02,,,,,,,,,
172,132,8600,50.0,64,-49.24,0.02,,,,,,,,,
173,132,8650,50.0,65,-49.24,0.02,,,,,,,,,
174,133,8700,50.0,65,-49.24,0.02,,,,,,,,,
175,133,8750,50.0,65,-49.24,0.02,,,,,,,,,
176,134,8800,50.0,65,-49.24,0.02,,,,,,,,,
177,134,8850,50.0,65,-49.24,0.02,,,,,,,,,
178,135,8900,50.0,65,-49.24,0.02,,,,,,,,,
179,135,8950,50.0,65,-49.24,0.02,,,,,,,,,
180,136,9000,50.0,66,-49.24,0.02,,,,,,,,,
181,136,9050,50.0,66,-49.24,0.02,,,,,,,,,
182,137,9100,50.0,66,-49.24,0.02,,,,,,,,,
183,137,9150,50.0,66,-49.24,0.02,,,,,,,,,
184,138,9200,50.0,66,-49.24,0.02,,,,,,,,,
185,138,9250,50.0,66,-49.24,0.02,,,,,,,,,
186,139,9300,50.0,66,-49.24,0.02,,,,,,,,,
187,139,9350,50.0,66,-49.24,0.02,,,,,,,,,
188,140,9400,50.0,67,-49.24,0.02,,,,,,,,,
189,140,9450,50.0,67,-49.24,0.02,,,,,,,,,
190,141,9500,50.0,67,-49.24,0.02,,,,,,,,,
191,141,9550,50.0,67,-49.24,0.02,,,,,,,,,
192,142,9600,50.0,67,-49.24,0.02,,,,,,,,,
193,142,9650,50.0,67,-49.24,0.02,,,,,,,,,
194,142,9700,50.0,67,-49.24,0.02,,,,,,,,,
195,143,9750,50.0,67,-49.24,0.02,,,,,,,,,
196,143,9800,50.0,68,-49.24,0.02,,,,,,,,,
197,144,9850,50.0,68,-49.24,0.02,,,,,,,,,
198,144,9900,50.0,68,-49.24,0.02,,,,,,,,,
199,145,9950,50.0,68,-49.24,0.02,,,,,,,,,
,,10000,,,,,-50.0,0.0,50.0,,,,,,
200,195,10000,50.0,51,-49.24,0.02,,,,,,,,,
201,195,10050,50.0,51,-49.24,0.02,,,,-3.5180156230926514,0.0009966503333333333,49,-0.16224932670593262,0.9531964659690857,0.25174522399902344
202,196,10100,50.0,51,-49.24,0.02,,,,-4.912878036499023,0.0009966336666666666,99,-0.32783442735671997,0.9067963361740112,0.21076367795467377
203,197,10150,50.0,51,-49.24,0.02,,,,-6.147314071655273,0.000996617,149,-0.49453291296958923,0.8626675009727478,0.196216881275177
204,198,10200,50.0,51,-49.24,0.02,,,,-7.137805938720703,0.0009966003333333334,199,-0.6655049324035645,0.8207080364227295,0.16434615850448608
205,199,10250,50.0,51,-49.24,0.02,,,,-7.893130302429199,0.0009965836666666666,249,-0.8318257927894592,0.7808300852775574,0.15490499138832092
206,199,10300,50.0,51,-49.24,0.02,,,,-8.404289245605469,0.000996567,299,-0.9970486164093018,0.742870569229126,0.19772106409072876
207,200,10350,50.0,51,-49.24,0.02,,,,-8.665949821472168,0.0009965503333333333,349,-1.1732375621795654,0.7067980766296387,0.18354669213294983
208,201,10400,50.0,51,-49.74,0.01,,,,-8.993616104125977,0.0009965336666666667,399,-1.3330495357513428,0.6724541187286377,0.2244138866662979
209,202,10450,50.0,51,-49.74,0.01,,,,-8.849372863769531,0.000996517,449,-1.493943452835083,0.6397899389266968,0.23509511351585388
210,203,10500,50.0,51,-49.74,0.01,,,,-8.944908142089844,0.0009965003333333334,499,-1.6578271389007568,0.6087791323661804,0.14808115363121033
211,203,10550,50.0,51,-49.74,0.01,,,,-8.835378646850586,0.0009964836666666666,549,-1.8199834823608398,0.5792700052261353,0.17078396677970886
212,204,10600,50.0,51,-49.74,0.01,,,,-8.949991226196289,0.000996467,599,-2.0028791427612305,0.5512005686759949,0.2061065137386322
213,205,10650,50.0,51,-49.74,0.01,,,,-8.39328384399414,0.0009964503333333334,649,-2.1541748046875,0.5244928598403931,0.16830161213874817
214,206,10700,50.0,51,-49.74,0.01,,,,-7.98056173324585,0.0009964336666666667,699,-2.328227996826172,0.49908944964408875,0.19139859080314636
215,207,10750,50.0,51,-49.74,0.01,,,,-7.934135913848877,0.000996417,749,-2.487697124481201,0.4749147295951843,0.26362675428390503
216,207,10800,50.0,51,-49.74,0.01,,,,-7.208241939544678,0.0009964003333333333,799,-2.6521735191345215,0.45190295577049255,0.3614068627357483
217,208,10850,50.0,51,-49.74,0.01,,,,-7.284298896789551,0.0009963836666666667,849,-2.8249239921569824,0.43004128336906433,0.5223491787910461
218,209,10900,50.0,52,-49.74,0.01,,,,-6.472057819366455,0.000996367,899,-2.997396945953369,0.40923747420310974,0.28612658381462097
219,210,10950,50.0,52,-49.74,0.01,,,,-6.339540958404541,0.0009963503333333334,949,-3.1381778717041016,0.3894623816013336,0.18583983182907104
220,211,11000,50.0,52,-49.74,0.01,,,,-5.603268623352051,0.0009963336666666666,999,-3.319784164428711,0.37062597274780273,0.46652308106422424
221,211,11050,50.0,52,-49.74,0.01,,,,-5.160689830780029,0.000996317,1049,-3.4529266357421875,0.35272112488746643,0.3814409375190735
222,212,11100,50.0,52,-49.74,0.01,,,,-4.89605712890625,0.0009963003333333335,1099,-3.5624465942382812,0.3357278108596802,0.5665661096572876
223,213,11150,50.0,52,-49.74,0.01,,,,-4.513876914978027,0.0009962836666666667,1149,-3.815802574157715,0.31961438059806824,0.47061026096343994
224,214,11200,50.0,52,-49.74,0.01,,,,-4.102480411529541,0.0009962670000000001,1199,-3.977904796600342,0.30423977971076965,0.24868129193782806
225,215,11250,50.0,52,-49.74,0.01,,,,-3.3519632816314697,0.0009962503333333333,1249,-4.044332504272461,0.28964725136756897,0.6617027521133423
226,215,11300,50.0,52,-49.74,0.01,,,,-3.390188694000244,0.0009962336666666668,1299,-4.238966941833496,0.2756968140602112,0.4293196201324463
227,216,11350,50.0,52,-49.74,0.01,,,,-2.5769107341766357,0.000996217,1349,-4.271943092346191,0.2625935971736908,0.4229732155799866
228,217,11400,50.0,52,-49.74,0.01,,,,-2.4956185817718506,0.0009962003333333334,1399,-4.545973777770996,0.2500954568386078,0.4285435378551483
229,218,11450,50.0,52,-49.74,0.01,,,,-2.187547445297241,0.0009961836666666666,1449,-4.617623805999756,0.23815622925758362,0.5998334884643555
230,218,11500,50.0,52,-49.74,0.01,,,,-1.7954378128051758,0.000996167,1499,-4.711968898773193,0.22694270312786102,0.4067785441875458
231,219,11550,50.0,52,-50.0,0.0,,,,-1.4271347522735596,0.0009961503333333333,1549,-4.860998153686523,0.2162475734949112,0.23368194699287415
232,220,11600,50.0,52,-50.0,0.0,,,,-1.156903862953186,0.0009961336666666667,1599,-5.073846817016602,0.20605379343032837,0.43257617950439453
233,221,11650,50.0,52,-50.0,0.0,,,,-1.2649850845336914,0.0009961170000000001,1649,-5.162978172302246,0.19646687805652618,0.3194776177406311
234,222,11700,50.0,52,-50.0,0.0,,,,-0.3998875617980957,0.0009961003333333334,1699,-5.282295227050781,0.187318816781044,0.49445295333862305
235,222,11750,50.0,52,-50.0,0.0,,,,-0.8464637994766235,0.0009960836666666668,1749,-5.229856491088867,0.17847146093845367,0.3840864300727844
236,223,11800,50.0,52,-50.0,0.0,,,,0.3073692321777344,0.000996067,1799,-5.5778913497924805,0.17020410299301147,0.26504576206207275
237,224,11850,50.0,52,-50.0,0.0,,,,0.11374866962432861,0.0009960503333333334,1849,-5.565683364868164,0.16226941347122192,0.3996182084083557
238,225,11900,50.0,52,-50.0,0.0,,,,0.5156999826431274,0.0009960336666666667,1899,-5.808346748352051,0.15472525358200073,0.5253626704216003
239,225,11950,50.0,52,-50.0,0.0,,,,0.6336164474487305,0.000996017,1949,-5.69363260269165,0.14754334092140198,0.27875444293022156
240,226,12000,50.0,52,-50.0,0.0,,,,0.6841838359832764,0.0009960003333333333,1999,-5.855386734008789,0.1406816691160202,0.22679904103279114
241,227,12050,50.0,52,-50.0,0.0,,,,0.933967113494873,0.0009959836666666667,2049,-6.08322811126709,0.1340978443622589,0.1851317584514618
242,228,12100,50.0,52,-50.0,0.0,,,,1.0586521625518799,0.0009959670000000002,2099,-6.375893592834473,0.12792737782001495,0.19790080189704895
243,229,12150,50.0,53,-50.0,0.0,,,,1.6249046325683594,0.0009959503333333334,2149,-6.454037666320801,0.12192349135875702,0.27648574113845825
244,229,12200,50.0,53,-50.0,0.0,,,,1.8536100387573242,0.0009959336666666668,2199,-6.445346832275391,0.11625469475984573,0.44388002157211304
245,230,12250,50.0,53,-50.0,0.0,,,,2.0097150802612305,0.000995917,2249,-6.595395565032959,0.11089424788951874,0.24388891458511353
