#{"t_start": 1751584258.553012, "env_id": "MujocoPandaPushEnv"}
r,l,t,is_success
-50.0,50,216.456345,False
-50.0,50,217.220669,False
-50.0,50,217.995543,False
-50.0,50,218.762169,False
-50.0,50,219.551653,False
-50.0,50,220.31561,False
-50.0,50,221.107496,False
-50.0,50,221.882201,False
-50.0,50,222.687193,False
-50.0,50,223.475809,False
-50.0,50,224.251549,False
-50.0,50,225.030649,False
-50.0,50,225.807755,False
-50.0,50,226.580912,False
-50.0,50,227.392317,False
-50.0,50,228.200886,False
-50.0,50,228.970245,False
-50.0,50,229.789545,False
-50.0,50,230.625388,False
-50.0,50,231.42901,False
-50.0,50,232.209938,False
-50.0,50,233.026913,False
-50.0,50,233.823334,False
-50.0,50,234.637571,False
-50.0,50,235.422184,False
-50.0,50,236.230347,False
-50.0,50,237.040877,False
-50.0,50,237.843819,False
-50.0,50,238.630352,False
-50.0,50,239.431389,False
-50.0,50,240.206085,False
-50.0,50,241.025557,False
-50.0,50,241.821498,False
-50.0,50,242.618672,False
-50.0,50,243.418687,False
-50.0,50,244.211866,False
-50.0,50,245.03703,False
-50.0,50,245.821662,False
-50.0,50,246.637042,False
-50.0,50,247.425325,False
-50.0,50,248.216038,False
-50.0,50,249.011378,False
-50.0,50,249.806184,False
-50.0,50,250.590423,False
-50.0,50,251.39781,False
-50.0,50,252.243445,False
-50.0,50,253.062433,False
-50.0,50,253.844546,False
-50.0,50,254.690601,False
-50.0,50,255.529171,False
-50.0,50,256.33023,False
-50.0,50,257.156424,False
-50.0,50,257.958545,False
-50.0,50,258.790108,False
-50.0,50,259.603323,False
-50.0,50,260.398408,False
-50.0,50,261.200321,False
-50.0,50,261.983464,False
-50.0,50,262.775116,False
-50.0,50,263.57248,False
-50.0,50,264.365915,False
-50.0,50,265.150128,False
-50.0,50,265.97666,False
-50.0,50,266.791178,False
-50.0,50,267.61001,False
-50.0,50,268.399159,False
-50.0,50,269.188886,False
-50.0,50,269.976733,False
-50.0,50,270.750476,False
-50.0,50,271.563711,False
-50.0,50,272.365961,False
-50.0,50,273.147999,False
-50.0,50,274.004709,False
-50.0,50,274.802846,False
-50.0,50,275.58699,False
-50.0,50,325.860856,False
-50.0,50,326.677001,False
-50.0,50,327.485502,False
-50.0,50,328.279412,False
-50.0,50,329.064529,False
-50.0,50,329.890024,False
-50.0,50,330.679857,False
-50.0,50,331.468144,False
-50.0,50,332.250894,False
-50.0,50,333.034708,False
-50.0,50,333.850015,False
-50.0,50,334.669878,False
-50.0,50,335.480592,False
-50.0,50,336.276494,False
-50.0,50,337.096626,False
-50.0,50,337.924522,False
-50.0,50,338.728169,False
-50.0,50,339.521605,False
-50.0,50,340.316526,False
-50.0,50,341.096521,False
-50.0,50,341.886668,False
-50.0,50,342.686925,False
-50.0,50,343.482567,False
-50.0,50,344.279926,False
-50.0,50,345.100559,False
-50.0,50,345.91461,False
-50.0,50,346.700848,False
-50.0,50,347.503523,False
-50.0,50,348.315097,False
-50.0,50,349.136251,False
-50.0,50,349.916315,False
-50.0,50,350.728374,False
-50.0,50,351.513117,False
-50.0,50,352.313539,False
-50.0,50,353.153167,False
